Subject	Time	Site	Organism	Recip_Ct
P25	-7	Tongue	So	0.050062578222779
P11	-7	Saliva	So	0.059171597633136
P12	-7	Saliva	So	0.060532687651332
P13	-7	Saliva	So	0.050075112669004
P14	-7	Saliva	So	0.05808887598025
P15	-7	Saliva	So	0.044853106077596
P16	-7	Saliva	So	0.057471264367816
P17	-7	Saliva	So	0.05941770647653
P18	-7	Saliva	So	0.064329366355741
P19	-7	Saliva	So	0.049140049140049
P20	-7	Saliva	So	0.056195560550717
P21	-7	Saliva	So	0.052205690420256
P22	-7	Saliva	So	0.057142857142857
P23	-7	Saliva	So	0.055020632737277
P24	-7	Saliva	So	0.053064473335102
P25	-7	Saliva	So	0.05270092226614
P11	21	Tongue	So	0.059364796675571
P12	21	Tongue	So	0.057504312823462
P13	21	Tongue	So	0.05775339301184
P14	21	Tongue	So	0.052151238591917
P15	21	Tongue	So	0.070003500175009
P16	21	Tongue	So	0.050517807527153
P17	21	Tongue	So	0.056866647711118
P18	21	Tongue	So	0.050428643469491
P19	21	Tongue	So	0.048332527791204
P20	21	Tongue	So	0.042580370449223
P21	21	Tongue	So	0.058207217694994
P22	21	Tongue	So	0.06418485237484
P23	21	Tongue	So	0.047938638542665
P24	21	Tongue	So	0.060331825037707
P25	21	Tongue	So	0.055263885051119
P11	21	Saliva	So	0.05871990604815
P12	21	Saliva	So	0.057987822557263
P13	21	Saliva	So	0.057504312823462
P14	21	Saliva	So	0.057903879559931
P15	21	Saliva	So	0.062092517851599
P16	21	Saliva	So	0.055279159756772
P17	21	Saliva	So	0.061031431187061
P18	21	Saliva	So	0.062814070351759
P19	21	Saliva	So	0.058927519151444
P20	21	Saliva	So	0.056069526212504
P21	21	Saliva	So	0.059880239520958
P22	21	Saliva	So	0.05877167205407
P23	21	Saliva	So	0.054614964500273
P24	21	Saliva	So	0.055617352614016
P25	21	Saliva	So	0.049321824907522
P11	35	Tongue	So	0.055340343110127
P12	35	Tongue	So	0.051826898160145
P13	35	Tongue	So	0.04863813229572
P14	35	Tongue	So	0.059970014992504
P15	35	Tongue	So	0.056882821387941
P16	35	Tongue	So	0.041160732661041
P17	35	Tongue	So	0.056705415367168
P18	35	Tongue	So	0.053008216273522
P19	35	Tongue	So	0.055066079295154
P20	35	Tongue	So	0.049664762850757
P21	35	Tongue	So	0.06327111673521
P22	35	Tongue	So	0.052770448548813
P23	35	Tongue	So	0.044632894443205
P24	35	Tongue	So	0.056996295240809
P25	35	Tongue	So	0.046565774155995
P11	35	Saliva	So	0.057487783845933
P12	35	Saliva	So	0.055944055944056
P13	35	Saliva	So	0.050365147318056
P14	35	Saliva	So	0.062519537355424
P15	35	Saliva	So	0.061595318755775
P16	35	Saliva	So	0.051400668208687
P17	35	Saliva	So	0.058072009291522
P18	35	Saliva	So	0.061312078479461
P19	35	Saliva	So	0.051988562516247
P20	35	Saliva	So	0.056022408963586
P21	35	Saliva	So	0.062305295950156
P22	35	Saliva	So	0.060240963855422
P23	35	Saliva	So	0.055850321139347
P24	35	Saliva	So	0.050365147318056
P25	35	Saliva	So	0.047766897540005
P11	-7	Tongue	Universal	0.05911912503695
P12	-7	Tongue	Universal	0.046750818139318
P13	-7	Tongue	Universal	0.045977011494253
P14	-7	Tongue	Universal	0.049176297024834
P15	-7	Tongue	Universal	0.05499037668408
P16	-7	Tongue	Universal	0.040543279951348
P17	-7	Tongue	Universal	0.047904191616767
P18	-7	Tongue	Universal	0.048297512678097
P19	-7	Tongue	Universal	0.056818181818182
P20	-7	Tongue	Universal	0.054229934924078
P21	-7	Tongue	Universal	0.049578582052553
P22	-7	Tongue	Universal	0.059934072520228
P23	-7	Tongue	Universal	0.054333061668025
P24	-7	Tongue	Universal	0.050825921219822
P25	-7	Tongue	Universal	0.048426150121065
P11	-7	Saliva	Universal	0.054674685620558
P12	-7	Saliva	Universal	0.051853772361939
